Location,STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1957,447,54,15,-39,7,8,1.44,100,7656,15.57,38.8,44.9,57.8,31.9
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1958,385,62,22,-13,10,5,0.97,100,6854,11.98,52,46.4,60.1,32.7
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1959,479,89,14,-33,13,12,0.68,101,7855,9.53,41.3,44.1,57.6,30.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1960,524,48,12,-22,4,4,0.78,104,7698,8.13,24,45.8,60.3,31.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1961,668,55,10,-20,6,6,1.82,105,6363,12.06,20.3,48.2,63.2,33.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1962,304,,13,-35,,4,1.28,99,7734,13.68,32.7,46.9,61.6,32.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1963,576,,,-32,,,1.58,100,6528,12.41,,48.3,63.3,33.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1964,477,,,-37,,,1.79,103,6544,16.46,,46.1,60.9,31.3
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1965,344,,17,-29,,6,1.11,102,8011,14.58,43.1,44.9,59.2,30.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1966,537,,,-27,,,2.21,101,7787,10.37,,44.4,58.8,30
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1967,460,,,-24,,,1.52,97,7291,14.95,,47.1,61.4,32.8
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1968,312,,,-31,,,2.07,97,6914,19.43,,46.1,60.6,31.6
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1969,416,,,-36,,,2.04,101,8140,14.91,,44.4,59.3,29.4
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1970,480,,15,-17,,4.5,1.2,98,7013,16.41,42.3,45.3,59.9,30.7
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1971,474,85,12,-21,12,6.5,1.18,100,7610,12.98,36.3,45.4,60,30.7
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1972,385,,17,-34,,7.5,1.55,100,7366,16.76,46.3,45,59.5,30.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1973,438,,12,-25,,4,1.22,101,7473,14.94,32.6,46.8,61.5,32.1
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1974,422,,,-31,,,1.54,100,6684,14.95,,47.7,63.4,32
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1975,371,,,-26,,,1.07,101,7713,18.07,,43.9,58.5,29.2
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1976,305,,,-19,,,1.48,105,6963,13.85,,46.2,62,30.5
Huntley,USC00244345,"HUNTLEY EXPERIMENTAL STATION, MT US",1977,,,,-25,,,0.86,,,13.17,,,,31
